Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
ObjectClassName,The definition for this element appears in Section 83 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Categories in a classification system that presents obligations by the items or services purchased by the Federal Government.Read Less,,Account Breakdown,"The authoritative source for these names is OMB Circular No. A-11 Section 83, available at https://www.whitehouse.gov/wp-content/uploads/2018/06/a11.pdf",
ObligatedAmountFromCOVID19Supplementals,Represents the obligated amount funded from COVID-19 supplementals.,,Award Spending,,
ObligatedAmountFromIIJAsupplemental,Represents the obligated amount funded by IIJA supplementals.,,Award Spending,,
ObligationsDeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. A legally binding agreement that will result in outlays, immediately or in the future.Read Less",,Account Breakdown,,
ObligationsDeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. A legally binding agreement that will result in outlays, immediately or in the future.Read Less",,Account Breakdown,,
ObligationsIncurredByProgramObjectClass_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. For unexpired accounts: Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. For expired accounts: Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.Read Less",,Account Breakdown,,
ObligationsIncurredTotalByAward_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. For unexpired accounts: Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. For expired accounts: Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.Read Less",,Account Breakdown,,
ObligationsIncurredTotalByTAS_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. For unexpired accounts: Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. For expired accounts: Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.Read Less",,Account Status,,
ObligationsUndeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. A legally binding agreement that will result in outlays, immediately or in the future.Read Less",,Account Breakdown,,
ObligationsUndeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. A legally binding agreement that will result in outlays, immediately or in the future.Read Less",,Account Breakdown,,
OrderingPeriodEndDate,"For procurement, the date on which, for the award referred to by the action being reported, no additional orders referring to it may be placed. This date applies only to procurement indefinite delivery vehicles (such as indefinite delivery contracts or blanket purchase agreements). Administrative actions related to this award may continue to occur after this date. The period of performance end dates for procurement orders issued under the indefinite delivery vehicle may extend beyond this date.Read Less",Indefinite Delivery Vehicle Last Date to Order,Award Attribute,,
OrganizationalType,The structure of the entity as defined by the IRS.,,Award Recipient,N/A= CORPORATE NOT TAX EXEMPT_x000D_ N/A= CORPORATE TAX EXEMPT_x000D_ N/A= FOREIGN GOVERNMENT_x000D_ N/A= INTERNATIONAL ORG_x000D_ N/A= OTHER_x000D_ N/A= PARTNERSHIP_x000D_ N/A= SOLE PROPRIETORSHIP_x000D_ N/A= US GOVERNMENT ENTITYRead Less,
OriginalLoanSubsidyCost,"The estimated long-term cost to the Government of a direct loan or loan guarantee, or modification thereof, calculated on a net present value basis, excluding administrative costs.",,Award Spending,,
Other than Full and Open Competition Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Other than Full and Open Competition Field.,,Award Attribute,"UNQ = UNIQUE SOURCE (FAR 6.302-1(B)(1)) FOC = FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)) UR = UNSOLICITED RESEARCH PROPOSAL (FAR 6.302-1(A)(2)(I)) PDR = PATENT OR DATA RIGHTS (FAR 6.302-1(B)(2)) UT = UTILITIES (FAR 6.302-1(B)(3)) STD = STANDARDIZATION (FAR 6.302-1(B)(4)) ONE = ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER) URG = URGENCY (FAR 6.302-2) MES = MOBILIZATION, ESSENTIAL R&D (FAR 6.302-3) IA = INTERNATIONAL AGREEMENT (FAR 6.302-4) OTH = AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)) RES = AUTHORIZED RESALE (FAR 6.302-5(A)(2)(II)) NS = NATIONAL SECURITY (FAR 6.302-6) PI = PUBLIC INTEREST (FAR 6.302-7) MPT = LESS THAN OR EQUAL TO THE MICRO-PURCHASE THRESHOLD SP2 = SAP NON-COMPETITION (FAR 13) BND = BRAND NAME DESCRIPTION (FAR 6.302-1(C))Read Less","UNQ = Report this code if the action was justified pursuant to FAR 6.302-1(b)(1) FOC = For a Definitive Contract, report this code if the action was justified pursuant to FAR 6.302-1(a)(2)(ii) or FAR 6.302-1(a)(2)(iii) UR = Report this code if the action was justified pursuant to FAR 6.302-1(a)(2)(i). PDR = Report this code if the action was justified pursuant to FAR 6.302-1(b)(2). UT = Report this code if the action was justified pursuant to FAR 6.302-1(a)(2) and FAR 6.302-1(b)(3) and the source is a regulated utility for which no competition is available. STD = Report this code if the action was justified pursuant to FAR 6.302-1(b)(4). ONE = Report this code if the action was justified pursuant to FAR 6.302-1 situation other than the examples cited above. URG = Report this code if the action was justified pursuant to FAR 6.302-2. MES= Report this code if the action was justified pursuant to FAR 6.302-3(a)(2). IA = Report this code if the action was justified pursuant to FAR 6.302-4. OTH = Report this code if the action was justified pursuant to FAR 6.302-5 and a specific Not Listed Above program is not listed above. RES = Report this code if the action was justified pursuant to FAR 6.302-5(a)(2)(ii). NS = Report this code if the action was justified pursuant to FAR 6.302-6. PI = Report this code if the action was justified pursuant to FAR 6.302-7. MPT = Report this code if the action was justified pursuant to FAR 13.202 SP2 = Report this code for a non-competitive acquisition when the simplified acquisition procedures in FAR 13.3 are used. BND = Report this code if an acquisition used a brand name description or other purchase description to specify a particular brand name, product, or feature of a product, peculiar to one manufacturer.Read Less"
OtherBudgetaryResourcesAmount_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. New borrowing authority, contract authority, and spending authority from offsetting collections provided by Congress in an appropriations act or other legislation, or unobligated balances of budgetary resources made available in previous legislation, to incur obligations and to make outlays.Read Less",,Account Resources,,
OtherMinorityOwnedBusiness,https://www.sam.gov,Other Minority Owned Business,Award Recipient,F = False T = True,
OtherNotForProfitOrganization,https://www.sam.gov,Other Not For Profit Organization,Award Recipient,F = False T = True,
OtherStatutoryAuthority,"Indicates whether the transaction is subject to other statutory authority. If ""Interagency Contracting Authority"" is ""Other Statutory Authority"" then an entry is required in this data element.",Other Statutory Authority,Award Attribute,,
OtherThanFullAndOpenCompetition,The designator for solicitation procedures other than full and open competition pursuant to FAR 6.3.,Other than Full and Open Competition,Award Attribute,"UNQ = UNIQUE SOURCE (FAR 6.302-1(B)(1)) FOC = FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)) UR = UNSOLICITED RESEARCH PROPOSAL (FAR 6.302-1(A)(2)(I)) PDR = PATENT OR DATA RIGHTS (FAR 6.302-1(B)(2)) UT = UTILITIES (FAR 6.302-1(B)(3)) STD = STANDARDIZATION (FAR 6.302-1(B)(4)) ONE = ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER) URG = URGENCY (FAR 6.302-2) MES = MOBILIZATION, ESSENTIAL R&D (FAR 6.302-3) IA = INTERNATIONAL AGREEMENT (FAR 6.302-4) OTH = AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)) RES = AUTHORIZED RESALE (FAR 6.302-5(A)(2)(II)) NS = NATIONAL SECURITY (FAR 6.302-6) PI = PUBLIC INTEREST (FAR 6.302-7) MPT = LESS THAN OR EQUAL TO THE MICRO-PURCHASE THRESHOLD SP2 = SAP NON-COMPETITION (FAR 13) BND = BRAND NAME DESCRIPTION (FAR 6.302-1(C))Read Less","UNQ = Report this code if the action was justified pursuant to FAR 6.302-1(b)(1) FOC = For a Definitive Contract, report this code if the action was justified pursuant to FAR 6.302-1(a)(2)(ii) or FAR 6.302-1(a)(2)(iii) UR = Report this code if the action was justified pursuant to FAR 6.302-1(a)(2)(i). PDR = Report this code if the action was justified pursuant to FAR 6.302-1(b)(2). UT = Report this code if the action was justified pursuant to FAR 6.302-1(a)(2) and FAR 6.302-1(b)(3) and the source is a regulated utility for which no competition is available. STD = Report this code if the action was justified pursuant to FAR 6.302-1(b)(4). ONE = Report this code if the action was justified pursuant to FAR 6.302-1 situation other than the examples cited above. URG = Report this code if the action was justified pursuant to FAR 6.302-2. MES= Report this code if the action was justified pursuant to FAR 6.302-3(a)(2). IA = Report this code if the action was justified pursuant to FAR 6.302-4. OTH = Report this code if the action was justified pursuant to FAR 6.302-5 and a specific Not Listed Above program is not listed above. RES = Report this code if the action was justified pursuant to FAR 6.302-5(a)(2)(ii). NS = Report this code if the action was justified pursuant to FAR 6.302-6. PI = Report this code if the action was justified pursuant to FAR 6.302-7. MPT = Report this code if the action was justified pursuant to FAR 13.202 SP2 = Report this code for a non-competitive acquisition when the simplified acquisition procedures in FAR 13.3 are used. BND = Report this code if an acquisition used a brand name description or other purchase description to specify a particular brand name, product, or feature of a product, peculiar to one manufacturer.Read Less"
OutlayedAmountFromCOVID19Supplementals,Represents the outlayed amount funded from COVID-19 supplementals.,,Award Spending,,
OutlayedAmountFromIIJAsupplemental,Represents the outlayed amount funded by IIJA supplementals.,,Award Spending,,
OwningAgencyName,Represents the name associated with the Owning Agency Code that is responsible for the account.,,Submission Attribute,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
ParentAwardID,"The identifier of the procurement award under which the specific award is issued, such as a Federal Supply Schedule. This data element currently applies to procurement actions only.",Referenced PIID,Award Attribute,,
PartnershipOrLimitedLiabilityPartnership,https://www.sam.gov,Partnership or Limited Liability Partnership,Award Recipient,F = False T = True,
Performance-Based Service Acquisition Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Performance-Based Service Acquisition Field.,,Award Attribute,Y = YES - SERVICE WHERE PBA IS USED. N = NO - SERVICE WHERE PBA IS NOT USED. X = NOT APPLICABLE,"Y = Enter Yes for contract actions for services where: For FY2004 and prior - 80% of the requirement is performance based, as measured in dollars; For FY 2005 and later - 50% of the requirement is performance based, as measured in dollars. N = Enter No for contract actions for services where the above PBA standards are not met. X = Enter N/A for contract actions that are predominantly for supplies.Read Less"
Performance-BasedServiceAcquisition,"Indicates whether the contract action is a PBA of services as defined by FAR 37.601. A PBSA: a. Describes the requirements in terms of results required rather than the methods of performance of the work b. Uses measurable performance standards (i.e. terms of quality, timelines, quantity etc.) and quality assurance surveillance plans (refer to 46.103(a) and 46.401(a)) c. Specifies procedures for reductions of fee or for reductions to the price of a fixed-price contract when services are not performed or do not meet contract requirements (refer to 46.407) d. Includes performance incentives where applicable. For FPDS reporting purposes, a minimum of 80% of the anticipated obligations under the procurements action must meet the above requirements for FY 2004 and prior and a minimum of 50% of the anticipated obligations under the procurements action must meet the above requirements for FY 2005 and later.Read Less",Performance-Based Service Acquisition,Award Attribute,Y = YES - SERVICE WHERE PBA IS USED. N = NO - SERVICE WHERE PBA IS NOT USED. X = NOT APPLICABLE,"Y = Enter Yes for contract actions for services where: For FY2004 and prior - 80% of the requirement is performance based, as measured in dollars; For FY 2005 and later - 50% of the requirement is performance based, as measured in dollars. N = Enter No for contract actions for services where the above PBA standards are not met. X = Enter N/A for contract actions that are predominantly for supplies.Read Less"
PeriodOfPerformanceCurrentEndDate,"For procurement awards: The contract completion date based on the schedule in the contract. For an initial award, this is the scheduled completion date for the base contract and for any options exercised at time of award. For modifications that exercise options or that shorten (such as termination) or extend the contract period of performance, this is the revised scheduled completion date for the base contract including exercised options. If the award is solely for the purchase of supplies to be delivered, the completion date should correspond to the latest delivery date on the base contract and any exercised options. The completion date does not change to reflect a closeout date. For grants and cooperative agreements: The Period of Performance is defined in the CFR 200 as the total estimated time interval between the start of an initial Federal award and the planned end date, which may include one or more funded portions, or budget periods. If the end date is revised due to an extension, termination, lack of available funds, or other reason, the current end date will be amended. For all other financial assistance awards: The current date on which, for the award referred to by the action being reported, awardee effort completes or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date.Read Less",Current Completion Date,Award Attribute,,
PeriodOfPerformancePotentialEndDate,"For procurement, the date on which, for the award referred to by the action being reported if all potential pre-determined or pre-negotiated options were exercised, awardee effort is completed or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.Read Less",Ultimate Completion Date,Award Attribute,,
PeriodOfPerformanceStartDate,"For procurement awards: Per the FPDS data dictionary, the date that the parties agree will be the starting date for the contract's requirements. This is the period of performance start date for the entire contract period, this date does not reflect period of performance per modification, but rather the start of the entire contract period of performance. This data element does NOT correspond to FAR 43.101 or 52.243 and should not be mapped to those fields in your contract writing systems. For grants and cooperative agreements: The Period of Performance is defined in the 2 CFR 200 as the total estimated time interval between the start of an initial Federal award and the planned end date, which may include one or more funded portions, or budget periods. For all other financial assistance awards: The date on which, for the award referred to by the action being reported, awardee effort begins or the award is otherwise effective.Read Less",Period of Performance Start Date,Award Attribute,,
PIID,The unique identifier of the specific award being reported.,Procurement Instrument Identifier,Award Attribute,,
Place of Manufacture Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Place of Manufacture Field.,,Award Attribute,"A = PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT B = PERFORMED OR MANUFACTURED OUTSIDE US C = NOT A MANUFACTURED END PRODUCT D = MFG IN U.S. E = MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES F = MFG OUTSIDE U.S. - RESALE G = MFG OUTSIDE U.S. - TRADE AGREEMENTS H = MFG OUTSIDE U.S. - COMMERCIAL INFORMATION TECHNOLOGY I = MFG OUTSIDE U.S. - PUBLIC INTEREST DETERMINATION J = MFG OUTSIDE U.S. - DOMESTIC NONAVAILABILITY K = MFG OUTSIDE U.S. - UNREASONABLE COST L = MFG OUTSIDE U.S. - QUALIFYING COUNTRY (DOD ONLY)Read Less","A= The action is for (i) A foreign end product that is manufactured in the United States but still determined to be foreign because 50 percent or more of the cost of its components is not mined, produced, or manufactured inside the United States or inside qualifying countries; or (ii) Services performed in the United States by a foreign concern. Note: This value is not valid after Sept 30, 2006. B = The action is for (i) Any other foreign end product; or (ii) Services performed outside the United States by a foreign concern. Note: This value is not valid after Sept 30, 2006. C = Not a manufactured end product action D = The action is predominantly for acquisition of manufactured end products that are manufactured in the United States E = The foreign manufactured end products acquired are predominantly for use outside the United States (FAR 25.100). F = The foreign manufactured end products acquired are predominantly for resale (FAR 25.103(d). G = The foreign manufactured end products are predominantly eligible products acquired under Trade Agreements (FAR 25.402(a)(1)). H =The foreign manufactured end products are predominantly commercial information technology items (FAR 25.103(e)). I = The head of the agency has made a determination that domestic preferences would be inconsistent with the public interest (FAR 25.103(a)). J = The foreign manufactured end products were predominantly not domestically available as shown by one of the following: (i) The item is listed at FAR 25.104 (FAR 25.103(b)(1). (ii) The agency did an individual determination (FAR 25.103(b)(2)). (iii) No offer of a domestic end product was received, even though the acquisition was synopsized and conducted through full and open competition (FAR 25.103(b)(3). K = The cost of the offered domestic end products was unreasonable (FAR 25.103(c), 25.105, and Subpart 25.5) L = For DoD only, the foreign manufactured end products are predominantly qualifying country end products (DFARS 225.003 and 225.872-1)Read Less"
PlaceOfManufacture,Represents whether the end products procured by the contract are manufactured inside or outside the U.S. in accordance with the Buy American Act (see FAR 25.1) and any exceptions or reasons for waivers employed.Read Less,Place of Manufacture,Award Attribute,"A = PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT B = PERFORMED OR MANUFACTURED OUTSIDE US C = NOT A MANUFACTURED END PRODUCT D = MFG IN U.S. E = MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES F = MFG OUTSIDE U.S. - RESALE G = MFG OUTSIDE U.S. - TRADE AGREEMENTS H = MFG OUTSIDE U.S. - COMMERCIAL INFORMATION TECHNOLOGY I = MFG OUTSIDE U.S. - PUBLIC INTEREST DETERMINATION J = MFG OUTSIDE U.S. - DOMESTIC NONAVAILABILITY K = MFG OUTSIDE U.S. - UNREASONABLE COST L = MFG OUTSIDE U.S. - QUALIFYING COUNTRY (DOD ONLY)Read Less","A= The action is for (i) A foreign end product that is manufactured in the United States but still determined to be foreign because 50 percent or more of the cost of its components is not mined, produced, or manufactured inside the United States or inside qualifying countries; or (ii) Services performed in the United States by a foreign concern. Note: This value is not valid after Sept 30, 2006. B = The action is for (i) Any other foreign end product; or (ii) Services performed outside the United States by a foreign concern. Note: This value is not valid after Sept 30, 2006. C = Not a manufactured end product action D = The action is predominantly for acquisition of manufactured end products that are manufactured in the United States E = The foreign manufactured end products acquired are predominantly for use outside the United States (FAR 25.100). F = The foreign manufactured end products acquired are predominantly for resale (FAR 25.103(d). G = The foreign manufactured end products are predominantly eligible products acquired under Trade Agreements (FAR 25.402(a)(1)). H =The foreign manufactured end products are predominantly commercial information technology items (FAR 25.103(e)). I = The head of the agency has made a determination that domestic preferences would be inconsistent with the public interest (FAR 25.103(a)). J = The foreign manufactured end products were predominantly not domestically available as shown by one of the following: (i) The item is listed at FAR 25.104 (FAR 25.103(b)(1). (ii) The agency did an individual determination (FAR 25.103(b)(2)). (iii) No offer of a domestic end product was received, even though the acquisition was synopsized and conducted through full and open competition (FAR 25.103(b)(3). K = The cost of the offered domestic end products was unreasonable (FAR 25.103(c), 25.105, and Subpart 25.5) L = For DoD only, the foreign manufactured end products are predominantly qualifying country end products (DFARS 225.003 and 225.872-1)Read Less"
PlanningCommission,https://www.sam.gov,Planning Commission,Award Recipient,F = False T = True,
PortAuthority,https://www.sam.gov,Port Authority,Award Recipient,F = False T = True,
PotentialTotalValueOfAward,"For procurement, the total amount that could be obligated on a contract, if the base and all options are exercised.",Total Base and All Options Value,Award Spending,,
PriceEvaluationAdjustmentPreferencePercentDifference,"The percent difference between the award price and the lowest priced offer from a responsive, responsible non-HUBZone or non-SDB.",Price Evaluation Adjustment/Preference Percent Difference,Award Attribute,,
PrimaryPlaceOfPerformanceCityName,The name of the city where the predominant performance of the award will be accomplished.,Principal Place of Performance Name,Award Attribute,Subawards and Contracts: refer to the GSA FSRS and FPDS systems Assistance: see https://www.usgs.gov/core-science-systems/ngp/board-on-geographic-names/download-gnis-data,
PrimaryPlaceOfPerformanceCode,A numeric code indicating where the predominant performance of the award will be accomplished.,,Award Attribute,00***** = Multi-State 00FORGN = Foreign XX00000 = Single ZIP code XX##### = City-wide XX**### = County-wide XX***** = State-wide XX####R = Native American Reservation XX####T = Native Hawaiian home land trust or Native American off-reservation land trust XXTS### = Tribal SubdivisionRead Less,"00***** = Used to indicate a multi-state place of performance 00FORGN = Used to indicate a foreign place of performance XX00000 = Used to indicate a place of performance taking place primarily in a single ZIP code in state XX (where XX represents the postal service two-letter state code). XX##### = Used to indicate a city-wide place of performance in state XX (where XX represents the postal service two-letter state code) and city #####. Note that city-codes are only guaranteed to be unique when combined with the relevant state code; the same ##### code can be re-used between states. XX**### = Used to indicate a county-wide place of performance in state XX (where XX represents the postal service two-letter state code) and county ###. County codes are available from the following authoritative source: https://geonames.usgs.gov/domestic/download_data.htm (use the ""Government Units"" file under ""Topical Gazetteers""). XX***** = Used to indicate a state-wide place of performance XX####R = A special city code used to indicate a place of performance taking place primarily on a Native American reservation. Note that city-codes are only guaranteed to be unique when combined with the relevant state code; the same ##### code can be re-used between states. XX####T = Native Hawaiian home land trust or Native American off-reservation land trust XXTS### = A special city code used to indicate a place of performance taking place primarily within a tribal subdivision. Note that city-codes are only guaranteed to be unique when combined with the relevant state code; the same ##### code can be re-used between states.Read Less"
PrimaryPlaceOfPerformanceCongressionalDistrict,U.S. Congressional district where the predominant performance of the award will be accomplished.,Congressional District - Place of Performance,Award Attribute,Subawards and Contracts: refer to the GSA FSRS and FPDS systems Financial Assistance: data sourced from USPS Postal Pro,
PrimaryPlaceOfPerformanceCountryCode,Country code where the predominant performance of the award will be accomplished.,Principal Place of Performance,Award Attribute,"Subawards and Contracts: refer to the GSA FSRS and FPDS systems Financial Assistance: GENC Standard Version 3, Update 4, available from the following source: https://nsgreg.nga.mil/registries/browse/results.jsp?registryType=genc&registerField=IE4&browseType=gencRead Less",
PrimaryPlaceOfPerformanceCountryName,Name of the country represented by the country code where the predominant performance of the award will be accomplished.,,Award Attribute,"Subawards and Contracts: refer to the GSA FSRS and FPDS systems Financial Assistance: GENC Standard Version 3, Update 4, available from the following source: https://nsgreg.nga.mil/registries/browse/results.jsp?registryType=genc&registerField=IE4&browseType=gencRead Less",
PrimaryPlaceOfPerformanceCountyCode,Three-position numeric code for county from InterNational Committee for Information Technology Standards (ANSI INCITS) county codes.,,Award Attribute,See https://geonames.usgs.gov/docs/stategaz/GOVT_UNITS.zip,
PrimaryPlaceOfPerformanceCountyName,The name of the county where the predominant performance of the award will be accomplished.,,Award Attribute,See https://geonames.usgs.gov/docs/stategaz/GOVT_UNITS.zip,
PrimaryPlaceOfPerformanceForeignLocationDescription,"For foreign places of performance: identify where the predominant performance of the award will be accomplished, describing it as specifically as possible.",,Award Attribute,,
PrimaryPlaceOfPerformanceScope,A description of the geographic area to which the predominant performance of the award is applicable.,,Award Attribute,Multi-State State-wide County-wide City-wide Single ZIP code Foreign,"Multi-State = The award's predominant place of performance takes place in multiple U.S. states or territories, up to and including the entire U.S. State-wide = The award's predominant place of performance takes place in multiple counties in the same U.S. state or territory, up to and including the entire state or territory. County-wide = The award's predominant place of performance takes place in multiple cities or Native American reservations/tribal subdivisions in the same U.S. county, up to and including the entire county. City-wide = The award's predominant place of performance takes place in multiple ZIP codes in the same U.S. city, Native American reservation, or tribal subdivision, up to and including the entire city, reservation, or tribal subdivision. Single ZIP code = The award's predominant place of performance takes place in a single U.S. ZIP code. Foreign = The award's predominant place of performance takes place in a foreign country.Read Less"
PrimaryPlaceOfPerformanceStateCode,"United States Postal Service (USPS) two-letter abbreviation for the state or territory indicating where the predominant performance of the award will be accomplished. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.Read Less",Principal Place of Performance,Award Attribute,Refer to the GSA Federal Procurement Data System (FPDS),
PrimaryPlaceOfPerformanceStateName,The name of the state or territory where the predominant performance of the award will be accomplished.,,Award Attribute,See https://geonames.usgs.gov/docs/stategaz/AllStates.zip,
PrimaryPlaceOfPerformanceZIP+4,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the award will be accomplished.",Zip Code - Place of Performance,Award Attribute,"Data for validation purposes is sourced from USPS Postal Pro, though agencies are able to submit +4 ZIP components outside this list with a warning when the first five digits are in the Postal Pro file.",
PrimeAwardAmount,The total amount awarded to the prime award recipient.,,Award Spending,,
PrimeAwardeeBusinessTypes,Comma separated list representing prime-contractor business types pulled from Federal Procurement Data System (FPDS) or the System for Award Management (SAM).,,Award Attribute,,
PrimeAwardFiscalYear,"The fiscal year in which the ActionDate of the prime award occurs. Note that the Federal fiscal year begins on October 1 and ends on September 30, thus October 1, 2018 is the first day of the 2019 fiscal year.Read Less",,Award Attribute,,
PrimeAwardID,The unique identifying Award ID of the prime award (PIID or FAIN).,,Award Attribute,,
PrimeAwardProjectTitle,Information about the purpose of the prime contract award entered by the prime recipient in the form of a project title.,,Award Attribute,,
PrimeAwardUniqueKey,"Derived unique record key used by the Broker to identify the prime award. Note that this element is different from the AssistanceTransactionUniqueKey and the ContractTransactionUniqueKey in that it identifies the award, not a specific transaction within the award. For contract records, this element is a concatenation of PIID, agencyID, ParentAwardId, and Referenced IDV Agency Identifier. For financial assistance records, this element is a concatenation of FAIN, URI, and AwardingSubTierAgencyCode. In both cases a single underscore ('_') character is inserted in between each element value. And in both cases if an element value is blank then the values used is ""NONE"".Read Less",,Award Attribute,,
Private_University_or_College,https://www.sam.gov,Private University or College,Award Recipient,F = False T = True,
Product or Service Code Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Product or Service Code Field.,,Award Attribute,See https://www.acquisition.gov/psc-manual,
Product_or_Service_Code,The code that best identifies the product or service procured. Codes are defined in the Product and Service Codes Manual.,Product or Service Code,Award Attribute,See https://www.acquisition.gov/psc-manual,
ProgramAcronym,"The short name or title used for a GWAC or other contracting program. Examples include COMMITS, ITOPS, SEWP.",Program Acronym,Award Attribute,,
ProgramActivitiesFundingThisAward,A single field with associated program activities in order of funding dollars.,,Treasury Account,See http://files.usaspending.gov/reference_data/program_activity.csv (PROGRAM_ACTIVITY_CODE and PROGRAM_ACTIVITY_NAME columns),
ProgramActivityCode,The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Code of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.Read Less,,Account Breakdown,See https://files.usaspending.gov/reference_data/program_activity.csv (PROGRAM_ACTIVITY_CODE column),
ProgramActivityName,The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Name of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.Read Less,,Account Breakdown,See https://files.usaspending.gov/reference_data/program_activity.csv (PROGRAM_ACTIVITY_NAME column),
ProgramActivityReportingKey,The Program Activity Reporting Key (PARK) is a unique identifier assigned by OMB used for tracking Program Activity by TAS and used for mapping records to the USAspending display. This unique code identifies specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.Read Less,,,Data for validation purposes is sourced from the OMB Program Activity Mapping File. More information can be found at this (https:/go.max.gov/pa) OMB Max page.,
Purchase Card as Payment Method Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Purchase Card as Payment Method Field.,,Award Attribute,Y = YES N = NO,Y = Purchase Card was or will be used to pay the entity N = Purchase Card was not or will not be used to pay the entity
PurchaseCardAsPaymentMethod,Indicates whether the method of payment is the Purchase Card. Agencies may issue formal contract documents and make payment using the Purchase Card. It is also permitted that agencies may report Purchase Card purchases.Read Less,Purchase Card as Payment Method,Award Attribute,Y = YES N = NO,Y = Purchase Card was or will be used to pay the entity N = Purchase Card was not or will not be used to pay the entity
RecordType,"Code indicating whether an action is an aggregate record, a non-aggregate record, or a non-aggregate record to an individual recipient (PII-Redacted).",,Award Attribute,1= Aggregate Record 2= Non-Aggregate Record 3= Non-Aggregate Record to an Individual Recipient (PII-Redacted),"1 = Used to indicate an aggregate record. Aggregate records are used to protect the identities and Personally-Identifiable Information (PII) of individual recipients by aggregating all awards in a given county, state, or foreign country. 2 = The most common record type. Used to indicate a non-aggregate record with no sensitive personally-identifiable information (PII). 3 = Used to indicate a non-aggregate record to an individual recipient. Personally-identifiable information (PII) must be redacted from these records.Read Less"
